GEO_ID,NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA
Geography,Geographic Area Name,Estimate!!Total,Annotation of Estimate!!Total,Margin of Error!!Total,Annotation of Margin of Error!!Total
0500000US48001,"Anderson County, Texas",57772,null,*****,*****
0500000US48003,"Andrews County, Texas",17215,null,*****,*****
0500000US48005,"Angelina County, Texas",87657,null,*****,*****
0500000US48007,"Aransas County, Texas",24729,null,*****,*****
0500000US48009,"Archer County, Texas",8750,null,*****,*****
0500000US48011,"Armstrong County, Texas",1913,null,102,null
0500000US48013,"Atascosa County, Texas",47710,null,*****,*****
0500000US48015,"Austin County, Texas",29107,null,*****,*****
0500000US48017,"Bailey County, Texas",7131,null,*****,*****
0500000US48019,"Bandera County, Texas",21015,null,*****,*****
0500000US48021,"Bastrop County, Texas",78286,null,*****,*****
0500000US48023,"Baylor County, Texas",3639,null,*****,*****
0500000US48025,"Bee County, Texas",32706,null,*****,*****
0500000US48027,"Bell County, Texas",330859,null,*****,*****
0500000US48029,"Bexar County, Texas",1858699,null,*****,*****
0500000US48031,"Blanco County, Texas",10918,null,*****,*****
0500000US48033,"Borden County, Texas",698,null,91,null
0500000US48035,"Bosque County, Texas",17953,null,*****,*****
0500000US48037,"Bowie County, Texas",93483,null,*****,*****
0500000US48039,"Brazoria County, Texas",338419,null,*****,*****
0500000US48041,"Brazos County, Texas",209896,null,*****,*****
0500000US48043,"Brewster County, Texas",9188,null,*****,*****
0500000US48045,"Briscoe County, Texas",1672,null,114,null
0500000US48047,"Brooks County, Texas",7217,null,*****,*****
0500000US48049,"Brown County, Texas",37935,null,*****,*****
0500000US48051,"Burleson County, Texas",17417,null,*****,*****
0500000US48053,"Burnet County, Texas",44584,null,*****,*****
0500000US48055,"Caldwell County, Texas",39848,null,*****,*****
0500000US48057,"Calhoun County, Texas",21805,null,*****,*****
0500000US48059,"Callahan County, Texas",13596,null,*****,*****
0500000US48061,"Cameron County, Texas",418785,null,*****,*****
0500000US48063,"Camp County, Texas",12631,null,*****,*****
0500000US48065,"Carson County, Texas",6027,null,*****,*****
0500000US48067,"Cass County, Texas",30346,null,*****,*****
0500000US48069,"Castro County, Texas",7875,null,*****,*****
0500000US48071,"Chambers County, Texas",38072,null,*****,*****
0500000US48073,"Cherokee County, Texas",51257,null,*****,*****
